Threads,ParallelTime,SpeedupAmdahl,SpeedupGustafson
1,0.00732778,1,1
2,0.00449212,1.63125,1.95
4,0.00310119,2.36289,3.85
6,0.00283491,2.58484,5.75
8,0.00225774,3.24563,7.65
12,0.00263218,2.78392,11.45
