Threads,ParallelTime,SpeedupAmdahl,SpeedupGustafson
1,0.106028,1,1
2,0.0545457,1.94383,1.95
4,0.0321696,3.2959,3.85
6,0.0276893,3.82919,5.75
8,0.0233769,4.53559,7.65
12,0.0198369,5.34497,11.45
