Threads,ParallelTime,SpeedupAmdahl,SpeedupGustafson
1,0.00190832,1,1
2,0.00096216,1.98337,1.95
4,0.00085374,2.23525,3.85
6,0.00082666,2.30847,5.75
8,0.00078407,2.43386,7.65
12,0.00125232,1.52383,11.45
