Threads,ParallelTime,SpeedupAmdahl,SpeedupGustafson
1,0.0274484,1,1
2,0.0149237,1.83925,1.95
4,0.00992633,2.76521,3.85
6,0.0082323,3.33423,5.75
8,0.00768399,3.57215,7.65
12,0.00939113,2.9228,11.45
