Threads,ParallelTime,SpeedupAmdahl,SpeedupGustafson
1,0.386232,1,1
2,0.209736,1.84151,1.95
4,0.126185,3.06085,3.85
6,0.103727,3.72353,5.75
8,0.0892335,4.32833,7.65
12,0.0749516,5.15309,11.45
